catalog_id	title_zh	intro_url
	Stockfish	https://chiuinan.github.io/game/game/intro/eng/e41/stckfish.htm
SWT241	T2終結者西洋棋	https://chiuinan.github.io/game/game/intro/eng/e41/t2chess.htm
SCD0131	Taiwan麻雀	https://chiuinan.github.io/game/game/intro/ch/c42/inetmj.htm
SCD0548	VR中華職棒	https://chiuinan.github.io/game/game/intro/ch/c52/vrcpbg.htm
SCD0551	VR快打1／	https://chiuinan.github.io/game/game/intro/eng/e51/vf1.htm
SCD0552	VR快打2／	https://chiuinan.github.io/game/game/intro/eng/e51/vf2.htm
SCD1516	VR機車賽	https://chiuinan.github.io/game/game/intro/eng/e51/cyber.htm
SCD0553	VR終極戰警1／	https://chiuinan.github.io/game/game/intro/eng/e51/vcop1.htm
SCD0554	VR終極戰警2／	https://chiuinan.github.io/game/game/intro/eng/e51/vcop2.htm
SCD0549	VR網球96	https://chiuinan.github.io/game/game/intro/eng/e52/vtennis.htm
SCD0104	WIN麻將	https://chiuinan.github.io/game/game/intro/ch/c42/winmjnet.htm
	Xian 3.0	https://chiuinan.github.io/game/game/intro/eng/e41/xian300.htm
SCD1545	X少年事件簿	https://chiuinan.github.io/game/game/intro/ch/c12/dago.htm
SCD1517	X摩托2000	https://chiuinan.github.io/game/game/intro/eng/e52/etmx2000.htm
SCD0643	X檔案	https://chiuinan.github.io/game/game/intro/eng/e22/xfiles.htm
	YES!HG	https://chiuinan.github.io/game/game/intro/ch/c22/yeshg.txt
SCD0987	Yes！封神榜	https://chiuinan.github.io/game/game/intro/ch/c52/phonsan.htm
SCD0462	Young Guns大富翁	https://chiuinan.github.io/game/game/intro/ch/c43/younggun.htm
SCD0789	Z字特攻隊／	https://chiuinan.github.io/game/game/intro/eng/e32/z.htm
SCD2095	ㄅㄆㄇ妙妙國(一)：ㄅㄆㄇ列車	https://chiuinan.github.io/game/game/intro/ch/c44/phone1.htm
	一九八九年中日圍棋擂臺賽	https://chiuinan.github.io/game/game/intro/ch/c41/zrlts.htm
SCD1639	一休和尚：自然攻略集	https://chiuinan.github.io/game/game/intro/ch/c44/ikkscien.htm
SCD1730	一級方程式賽車96	https://chiuinan.github.io/game/game/intro/eng/e52/f196.htm
SCD1731	一級方程式賽車97	https://chiuinan.github.io/game/game/intro/eng/e52/f197.htm
SCD1732	一級方程式賽車99	https://chiuinan.github.io/game/game/intro/eng/e52/f199.htm
SCD2531	一級方程式賽車車隊經理	https://chiuinan.github.io/game/game/intro/ch/c33/rtm.htm
	一線生機	https://chiuinan.github.io/game/game/intro/ch/c32/danger.txt
	一起五子棋	https://chiuinan.github.io/game/game/intro/ch/c41/gobang.htm
	一起翻轉棋	https://chiuinan.github.io/game/game/intro/ch/c41/othlg.htm
Z077	一路狂飆	https://chiuinan.github.io/game/game/intro/eng/e52/benc.htm
SCD2295	丁丁在西藏	https://chiuinan.github.io/game/game/intro/eng/e52/tintibet.htm
SCD2297	丁丁歷險記	https://chiuinan.github.io/game/game/intro/ch/c52/tintin.htm
SCD2296	丁丁歷險記：太陽之罪	https://chiuinan.github.io/game/game/intro/eng/e52/tinpots.htm
SCD1554	七大王朝1	https://chiuinan.github.io/game/game/intro/eng/e32/7k.htm
SCD1555	七大王朝2：凡爾坦戰役	https://chiuinan.github.io/game/game/intro/ch/c32/7k2.htm
SCD1556	七大王朝3：征服	https://chiuinan.github.io/game/game/intro/ch/c32/7kc.htm
	七寶奇謀	https://chiuinan.github.io/game/game/intro/eng/e52/goonies.htm
SCD2458	七寶奇謀	https://chiuinan.github.io/game/game/intro/ch/c21/qbqm.htm
SCD1552	七年戰爭1	https://chiuinan.github.io/game/game/intro/ch/c32/syw1.htm
SCD1553	七年戰爭2：決戰王朝	https://chiuinan.github.io/game/game/intro/ch/c32/syw2.htm
SCD2733	七星魔法使	https://chiuinan.github.io/game/game/intro/ch/c12/sorco.htm
SCD2402	七海爭霸	https://chiuinan.github.io/game/game/intro/ch/c32/admiral.htm
SSG005	七笑拳	https://chiuinan.github.io/game/game/intro/ch/c51/ranma.txt
SCD0971	七英雄外傳：王者之師	https://chiuinan.github.io/game/game/intro/ch/c11/sevenx.htm
SCD0969	七英雄物語1	https://chiuinan.github.io/game/game/intro/ch/c31/nanaei.htm
SCD0970	七英雄物語2	https://chiuinan.github.io/game/game/intro/ch/c31/nanaei2.htm
SCD2372	八女神物語	https://chiuinan.github.io/game/game/intro/ch/c11/eight.htm
SCD0135	八女神物語2	https://chiuinan.github.io/game/game/intro/ch/c31/eight2.txt
SCD2612	八年抗戰	https://chiuinan.github.io/game/game/intro/ch/c32/wor.htm
Z084,SCD1774	八球豪華版	https://chiuinan.github.io/game/game/intro/eng/e44/8balldlx.htm
SCD1640	八龍神傳說	https://chiuinan.github.io/game/game/intro/ch/c12/8dragon.htm
SCD1152	公主奇緣	https://chiuinan.github.io/game/game/intro/ch/c33/palais.htm
SCD1153	公主幻想曲：破解封印石	https://chiuinan.github.io/game/game/intro/ch/c44/pr7.htm
SCD0858	公主戰記	https://chiuinan.github.io/game/game/intro/ch/c11/pqr.htm
SCD1234	公元2140	https://chiuinan.github.io/game/game/intro/ch/c32/earth.htm
SCD1235	公元2150	https://chiuinan.github.io/game/game/intro/eng/e32/ea2150.htm
SCD1236	公元2160	https://chiuinan.github.io/game/game/intro/ch/c32/ea2160.htm
SCD1932	公路爭霸戰1：州際風暴	https://chiuinan.github.io/game/game/intro/eng/e51/i76.htm
SCD1933	公路爭霸戰2	https://chiuinan.github.io/game/game/intro/eng/e51/i82.htm
	公路狂飆	https://chiuinan.github.io/game/game/intro/eng/e52/carnage.htm
SCD1942	北方傳記	https://chiuinan.github.io/game/game/intro/eng/e12/konung.htm
SCD1893	北極特快車	https://chiuinan.github.io/game/game/intro/eng/e21/polarexp.htm
SCD2703	北非雄獅	https://chiuinan.github.io/game/game/intro/ch/c32/drvsak.htm
SCD2509	十三支局	https://chiuinan.github.io/game/game/intro/ch/c21/b13.htm
Z003	十六張姬麻將	https://chiuinan.github.io/game/game/intro/ch/c42/gmj.htm
OCD0110	十六張麻將寫真館	https://chiuinan.github.io/game/game/intro/ch/c42/beautymj.htm
	十面埋伏：索利諾大陸戰史	https://chiuinan.github.io/game/game/intro/ch/c32/ambush.htm
SCD0555	千變少女米娜	https://chiuinan.github.io/game/game/intro/ch/c22/meena.htm
SCD1902	午夜地下街頭飆車賽	https://chiuinan.github.io/game/game/intro/eng/e52/outlaw.htm
SCD2696	午夜檯球王	https://chiuinan.github.io/game/game/intro/eng/e52/fn3dp.htm
SCD1867	午夜狂飆	https://chiuinan.github.io/game/game/intro/eng/e52/midnrace.htm
	午夜鏢王3	https://chiuinan.github.io/game/game/intro/eng/e52/fn3dd.htm
Z007	卒業：	https://chiuinan.github.io/game/game/intro/ch/c33/josi.htm
SCD0305	卒業	https://chiuinan.github.io/game/game/intro/ch/c33/stnext.htm
SCD0304	卒業：戀愛篇	https://chiuinan.github.io/game/game/intro/ch/c22/cworld.htm
SCD0303	卒業2：	https://chiuinan.github.io/game/game/intro/ch/c33/josi2.htm
SCD2382	卒業旅行	https://chiuinan.github.io/game/game/intro/ch/c22/travel.htm
RS204	南宋英烈傳	https://chiuinan.github.io/game/game/intro/ch/c12/south.txt
SCD1868	南方公園大飆車	https://chiuinan.github.io/game/game/intro/eng/e52/sprally.htm
SCD1494	南方四賤客	https://chiuinan.github.io/game/game/intro/eng/e51/southprk.htm
SCD2655	南極冰怪	https://chiuinan.github.io/game/game/intro/ch/c21/poi.htm
	博比教你國際象棋	https://chiuinan.github.io/game/game/intro/eng/e41/bftc.htm
	三姊妹	https://chiuinan.github.io/game/game/intro/ch/c22/3sister.htm
