id	title	year	developer	region	publisher_tw	signals
cdg-0329	亂蝶	1998	FIX	null	歡樂盒	
cdg-0330	事務女郎2	1999	h.m.p	null	歡樂盒	
cdg-0333	二戰士兵	1999	TNT	null		
cdg-0345	五子棋	1988	第三波	TW		
cdg-0347	五子棋大師2	1999	光譜	TW		
cdg-0348	五子棋：宇宙幻影	1998	金點	null		
cdg-0351	大反擊	1993	Delphine	null	智冠	
cdg-0352	大唐三藏	2000	三馳	null	金智塔	
cdg-0358	大地英豪	2000	火鳳凰	null		
cdg-0391	大戰略5	1996	SystemSoft	JP	第三波	
cdg-0396	大戰略：大東亞興亡史2	2007	SystemSoft	JP	光譜	
cdg-0397	大戰略：王者之師	1998	SystemSoft	JP	第三波	
cdg-0402	大獎賽1	1992	MicroProse	US		
cdg-0403	大獎賽2	1996	MicroProse	US		
cdg-0404	大獎賽3	2000	MicroProse	US	第三波	
cdg-0406	大獎賽世界	1999	MicroProse	US		
cdg-0407	大獎賽經理1	1995	MicroProse	US		
cdg-0408	大獎賽經理2	1996	MicroProse	US		
cdg-0411	大航海世紀1602	1998	Max Design	null		
cdg-0414	大航海家1	1992	Ascaron	DE		
cdg-0415	大航海家2	2000	Ascaron	DE	光譜	
cdg-0416	大航海家3	2002	Ascaron	DE	光譜	
cdg-0420	大航海時代2外傳	1995	KOEI	JP	第三波	
cdg-0421	大航海時代3：太陽海岸	1996	KOEI	JP	第三波	
cdg-0422	大航海時代4	1999	KOEI	JP	第三波	
cdg-0428	大魔域：白鳥傳說	2000	Microïds	null	協和	
cdg-0429	大魔王物語	1997	勁一番	null	智冠	
cdg-0438	天使之都	2001	玩酷小組	null	宏碁	
cdg-0451	天使集中營	1996	Piston	null	幸福鴨	
cdg-0464	天外來襲	1998	GT	null		
cdg-0468	天才工作坊	1996	Discovery Multimedia	null		
cdg-0475	天神傳說	1996	泰騰	null		
cdg-0477	天諭	2000	次方	null	皇統	
cdg-0478	天賦神權：蛇女同盟	1997	Synergistic	null		
cdg-0479	天路賽車	1993	BlueMoon	null		
cdg-0485	太子降魔傳	1994	唐山	null		
cdg-0500	太空小蜜蜂再臨	1996	Taito,Kelly Data	null		
cdg-0517	小小馬蓋先	1995	草莓軟體	TW	熊貓	
cdg-0520	小旅鼠俄羅斯	1994	Jan Zeithaml	null		
cdg-0521	小棋侶	2001	晟業	TW		
cdg-0526	小精靈1	1996	Creature Labs	null		
cdg-0527	小精靈2	1998	Creature Labs	null		
cdg-0528	小精靈3	1999	Creature Labs	null		
cdg-0530	小精靈歷險記	1999	Creature Labs	null		
cdg-0531	小精靈軌道賽車	1995	Mad Data,WSP	null		
cdg-0539	小魔女琪琪：瘋狂美少女倉庫番	1997	Manbow	null		
cdg-0548	屠龍大會	1998	Silmarils	null	第三波	
cdg-0549	層疊空域：制空權	1998	Kodiak	null		
cdg-0550	山地自行車大賽	1999	Creative Carnage	null		
cdg-0551	山海經	2001	奧美	null		
cdg-0554	工人物語2	1996	Blue Byte	DE	華義	
cdg-0557	工人物語5：帝王之路	2004	Blue Byte	DE	松崗	
cdg-0559	巧克力	1995	金盤電子	null		
cdg-0560	巨人的冒險	1999	EAI	null		
cdg-0583	幻想空間7	1996	Sierra On-Line	US		
cdg-0602	幽浮3：啟示錄	1997	Mythos	null	第三波	
cdg-0603	幽浮4：攔截者	1998	MicroProse	US		
cdg-0608	幽魂2	1996	Sierra On-Line	US		
cdg-0611	民主遊戲	1988	李天啟	null		
cdg-0613	水世界	1997	Intelligent	null	松崗	
cdg-0614	水之旋律1	2009	KID	JP	光譜	
cdg-0615	水之旋律2：緋之記憶	2009	KID	JP	光譜	
cdg-0617	水族小舖	2000	玩酷	null		
cdg-0637	王牌飛行員	2000	Zipper	null		
cdg-0639	世嘉拉力賽1	1997	SEGA	JP	鼎昌	
cdg-0642	世界名畫欣賞	1996	頂尖拍檔	null		
cdg-0643	世界巡迴公路賽	1995	Teacy	null		
cdg-0645	世界拳擊理事會拳王爭霸	1999	IA	null		
cdg-0669	世紀戰略	1999	北京逆火	null		
cdg-0675	世紀職棒	1995	Stormfront	null	松崗	
cdg-0678	卡丁車大賽	2000	Monkey Byte	null		
cdg-0680	卡丁車賽車	1999	Midas	null		
cdg-0683	卡茲之翼：拜斯維爾戰記	1996	Humming Bird	null	歡樂盒	
cdg-0686	卡通總動員	1996	Burst	null		
cdg-0687	卡通賽車	2000	Software Creations	null		
cdg-0689	印加帝國	2000	Ubisoft	FR		
cdg-0690	印加帝國1	1992	Coktel Vision	null		
cdg-0693	印第大賽車1	1993	Papyrus	null		
