id	title_zh	year	developer	publisher_tw	loc	platform	chiuinan_url
cdg-3036	拖拉機大賽	1997	世紀鼎點		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/tractor.htm
cdg-3039	拱豬大賽	1997	世紀鼎點		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/pigh.htm
cdg-3535	猴島小英雄3：猴島的詛咒	1997	Lucas	松崗	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/monkey3.htm
cdg-3599	鐵卒之網路象棋	1997	捷友		native	Win9x	https://chiuinan.github.io/game/game/intro/ch/c41/netchess.htm
cdg-3793	歡樂五子棋	1997	世紀鼎點		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/hfive.htm
cdg-0203	三界諭2：真愛不死	1998	大點科技	第三波	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c12/3k2.htm
cdg-0329	亂蝶	1998	FIX	歡樂盒	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c22/rantyo.htm
cdg-0348	五子棋：宇宙幻影	1998	金點		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c41/wzq.htm
cdg-0397	大戰略：王者之師	1998	SystemSoft	第三波	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/dsmc.htm
cdg-0708	夜想曲：妖精們的敘情詩	1998	Jamie	富峰群	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c12/eryner.htm
cdg-0721	正宗中國暗棋之華容道	1998	普威爾		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c44/road0616.htm
cdg-0722	正宗中國暗棋之西瓜棋	1998	普威爾		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/wm0616.htm
cdg-0862	般若魔界	1998	昱泉	第三波	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c52/yamaraja.htm
cdg-1097	巫師之怒2	1998	Nival	松崗	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c12/rom2.htm
cdg-1113	巾幗英雄花木蘭	1998	新資訊科技		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c44/fmulan.htm
cdg-1248	海盜傳奇	1998	Tivola	翻新	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/max4.htm
cdg-1406	攻殼總司令	1998	彩意	智冠	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/rc.htm
cdg-1486	美少女救援隊	1998	h.m.p	歡樂盒	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/warg.htm
cdg-1509	風暴	1998	Sailon		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/madrun.htm
cdg-1719	快打威龍	1998	鉅盛		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c44/qdwl.htm
cdg-1927	生死之間2：末日傳說	1998	創意鷹翔	華義	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/lod2.htm
cdg-1943	異塵餘生2	1998	Interplay Productions		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c31/fallout2.htm
cdg-1947	異形地球	1998	Beam Software		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/alien.htm
cdg-2006	麻將高手 連線挑戰賽	1998	向量科技		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c42/mjkh.htm
cdg-2069	終極戰區1：戰爭地帶	1998	Activision	金仕達	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/bzone.htm
cdg-2088	組裝搖滾	1998	Attica	曉騰	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c33/popstar.htm
cdg-2093	絕命淒殺	1998	Warp		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/ezero.htm
cdg-2100	絕地風暴2：風起雲湧	1998	Beam		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/kknd2.htm
cdg-2117	網戰俄羅斯	1998	光譜	光譜	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c44/netris.htm
cdg-2139	象棋兵法1：單提馬篇	1998	晟業		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/cch1.htm
cdg-2140	象棋兵法2：反攻馬篇	1998	晟業	智冠	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/cch2.htm
cdg-2258	黃金島	1998	Jamie	富峰群/智冠	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/goldruin.htm
cdg-2432	星際爭霸戰：遊戲秀	1998	Sound Source		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/rites.htm
cdg-2457	暗棋大師	1998	光譜		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/chess.htm
cdg-2560	迷霧之島2	1998	Cyan	憶弘	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/myst2.htm
cdg-2848	蠟筆小新	1998	廣藝		native	Win3.1、WinXP	https://chiuinan.github.io/game/game/intro/ch/c44/shin2.htm
